No	DAY_YR	LAT	QUARTER	YEAR	SEXO	EST_LENGTH	Blue_whiting	hake	hake_SQR	scad	Hake_R	Hake_SSB	BLW_R	BLW_SSB	Sar_SSB	Sar_R	Sardine
1	217	42.85	3	2007	1	215	420	3	1.732050808	0	159.2	14700	4505	5390440	521000	1859	0
2	258	43.1281	3	2006	2	180	81	10	3.16227766	0	99.5	12400	9610	6479670	544280	1568	0
3	230	42.56	3	2007	1	191	219	14	3.741657387	0	159.2	14700	4505	5390440	521000	1859	0
4	10	42.675	1	2008	1	199	81	6	2.449489743	4	120.7	15100	3903	4180920	379990	2534	0
5	175	43.1281	2	2007	1	217	47	1	1	1	159.2	14700	4505	5390440	521000	1859	0
6	225	42.5681	3	2007	2	203	110	3	1.732050808	0	159.2	14700	4505	5390440	521000	1859	0
7	183	42.5706	3	2007	1	194	0	0	0	23	159.2	14700	4505	5390440	521000	1859	11
8	146	42.3283	2	2008	1	159	0	1	1	1	120.7	15100	3903	4180920	379990	2534	12
10	274	42.5472	4	2007	1	202	194	37	6.08276253	0	159.2	14700	4505	5390440	521000	1859	0
11	274	42.5472	4	2007	1	182	90	31	5.567764363	0	159.2	14700	4505	5390440	521000	1859	0
12	349	43.3236	4	2005	1	177	36	0	0	30	127.4	10900	27783	6541080	345270	4958	4
13	281	42.2703	4	2006	1	189	376	0	0	0	99.5	12400	9610	6479670	544280	1568	0
14	349	42.12	4	2004	2	160	0	0	0	0	78.9	10400	44454	6988560	427990	11289	55
15	230	42.56	3	2007	1	202	175	12	3.464101615	0	159.2	14700	4505	5390440	521000	1859	0
16	89	42.1197	1	2007	2	134	0	0	0	0	159.2	14700	4505	5390440	521000	1859	0
17	299	43.1478	4	2005	1	223	108	0	0	0	127.4	10900	27783	6541080	345270	4958	0
19	290	42.6114	4	2004	1	NA	0	0	0	0	78.9	10400	44454	6988560	427990	11289	16
20	330	42.37	4	2004	2	162	0	0	0	0	78.9	10400	44454	6988560	427990	11289	5
21	96	42.9683	2	2007	1	174	11	0	0	0	159.2	14700	4505	5390440	521000	1859	0
22	87	42.4783	1	2008	2	185	32	0	0	0	120.7	15100	3903	4180920	379990	2534	0
24	205	42.7978	3	2007	1	213	28	10	3.16227766	0	159.2	14700	4505	5390440	521000	1859	0
25	105	41.9058	2	2006	1	NA	0	0	0	1	99.5	12400	9610	6479670	544280	1568	8
26	178	42.1861	2	2007	2	174	235	4	2	0	159.2	14700	4505	5390440	521000	1859	0
27	185	42.56	3	2007	1	194	352	10	3.16227766	1	159.2	14700	4505	5390440	521000	1859	0
28	230	42.56	3	2007	1	207	212	11	3.31662479	0	159.2	14700	4505	5390440	521000	1859	0
29	215	42.85	3	2007	1	185	373	5	2.236067977	0	159.2	14700	4505	5390440	521000	1859	0
30	129	42.2881	2	2006	1	172	5	8	2.828427125	0	99.5	12400	9610	6479670	544280	1568	12
