preySp,usedSp,area,weightPerc,spKjg
Sardine (Sardina pilchardus),,Gal,0.05,8.7
Argentine (Argentina sp.),Argentina sphyraena,Gal,0.79,6.1
Blue whiting (Micromesistius poutassou),,Gal,49.66,4.4
"Trisopterus spp. (T. esmarkii, T. minutus, T. luscus)",T. minutus,Gal,1.28,5.1
Silvery pout (Gadiculus argenteus thori),,Gal,0.18,5
Gaidropsarus vulgaris,Gaidropsarus spp.,Gal,0.12,5.5
Other Gadidae,,Gal,0.24,4.5
Hake (Merluccius merluccius),,Gal,29.09,3.7
Scad (Trachurus sp.),,Gal,3.24,6
Sparidae,,Gal,1.17,8.1
Mullet,Mullus surmuletus,Gal,6.25,6.4
Ammodytidae,,Gal,0.3,5.3
Gobiidae,Lesueurigobius friesii,Gal,0.01,5.6
Mackerel (Scomber scombrus),,Gal,0.22,7.9
C. maculatus,Callionymus lyra,Gal,0.02,5.2
Atherina sp.,Atherina presbyter,Gal,0.16,7.3
Flatfish,Pleuronectiformes,Gal,0.01,5.7
Sole (Solea solea),,Gal,0.07,5
Beryx decadactylus,Hoplostethus mediterraneus,Gal,0.51,4.7
Aphanopus carbo,Perciformes,Gal,0.29,6.2
Zoarcidae,Perciformes,Gal,0.09,6.2
Conger conger,Conger conger,Gal,4.35,6.9
Sepia,,Gal,0.01,3.8
Squid (Todaropsis eblanae),,Gal,0.03,4.4
Other Ommastrephidae,,Gal,1.04,4.4
Octopus (Octopus vulgaris),Eledone cirrhosa,Gal,0.08,4.7
Octopus (Eledone cirrhosa),,Gal,0.52,4.7
Other Cephalopoda,Cephalopoda,Gal,0.21,4.4
