Regresion for length-weight relationship of bottlenose dolphin
extracted from figure 4 of Ridgway and Fenner (1982) with g3data software

Axis
X= 185 285 (length)
Y= 70 205 (weight)

Regresion for captured males and females (start and end point)
X=188.384724243  Y=85.0220754779
X=259.649035463  Y=184.399886203

Points for captured males

X=187.811545995  Y=93.2792069241
X=195.618660481  Y=101.808383758
X=200.826503704  Y=103.798869692
X=202.642145653  Y=99.462884748
X=213.84000248  Y=116.057653379
X=217.574141144  Y=119.777658632
X=217.802099404  Y=118.040014881
X=222.781802001  Y=121.985534681
X=227.076900351  Y=132.013546192
X=230.905140185  Y=158.560252104
X=247.892772082  Y=158.453649703
X=243.681927104  Y=182.991405062

Points for captured females

X=194.488716978  Y=98.7575363001
X=205.351019247  Y=110.350116532
X=205.468280976  Y=105.568272587
X=207.62020695  Y=105.364915582
X=223.804331572  Y=118.079159874
X=224.934092708  Y=121.347397446
X=228.775827671  Y=131.807234848
X=219.819256455  Y=143.487952862
X=239.75210907  Y=142.530993205
X=223.533152426  Y=171.338260879
X=234.643108548  Y=157.715064941
X=249.683247439  Y=184.117500629
X=250.824315305  Y=173.907551072
X=244.947916097  Y=158.869226729
X=252.986453808  Y=161.530347627
X=256.72879897  Y=155.467797704

