No;Sp;Date;Length;Sex;COD;Prey;Count;Measured;Weighting;Prey.length;Prey.weight
TT502;TTR;07/04/1998;;2;BY;Blue whiting;11;11;0.5;231.329;65.067
TT502;TTR;07/04/1998;;2;BY;Blue whiting;11;11;0.5;224.15;57.619
TT502;TTR;07/04/1998;;2;BY;Blue whiting;11;11;0.5;224.15;57.619
TT502;TTR;07/04/1998;;2;BY;Blue whiting;11;11;0.5;234.93;69.061
TT502;TTR;07/04/1998;;2;BY;Blue whiting;11;11;0.5;285.207;145.992
TT502;TTR;07/04/1998;;2;BY;Blue whiting;11;11;0.5;270.848;119.587
TT502;TTR;07/04/1998;;2;BY;Blue whiting;11;11;0.5;242.109;77.564
TT502;TTR;07/04/1998;;2;BY;Blue whiting;11;11;0.5;184.631;27.299
TT502;TTR;07/04/1998;;2;BY;Blue whiting;11;11;0.5;231.329;65.067
TT502;TTR;07/04/1998;;2;BY;Blue whiting;11;11;0.5;256.468;96.875
TT502;TTR;07/04/1998;;2;BY;Blue whiting;11;11;0.5;62.736;0.898
TT502;TTR;07/04/1998;;2;BY;Hake;3;3;0.5;93.067;6.466
TT502;TTR;07/04/1998;;2;BY;Hake;3;3;0.5;166.367;35.118
TT502;TTR;07/04/1998;;2;BY;Hake;3;3;0.5;131.401;17.662
TT502;TTR;07/04/1998;;2;BY;Fish;1;1;0.5;;0
TT513;TTR;11/11/1997;282;2;BY;Hake;11;11;0.5;364;343.595
TT513;TTR;11/11/1997;282;2;BY;Illex/Todaropsis;3;3;1;;58.121
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;212.344;52.958
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;189.344;36.095
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;200.809;43.936
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;218.076;57.891
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;200.809;43.936
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;200.809;43.936
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;200.809;43.936
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;189.344;36.095
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;212.344;52.958
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;189.344;36.095
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;200.809;43.936
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;200.809;43.936
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;177.808;29.253
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;200.809;43.936
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;189.344;36.095
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;189.344;36.095
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;206.612;48.327
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;200.809;43.936
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;166.344;23.409
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;183.611;32.569
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;189.344;36.095
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;189.344;36.095
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;200.809;43.936
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;212.344;52.958
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;189.344;36.095
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;189.344;36.095
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;200.809;43.936
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;177.808;29.253
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;212.344;52.958
TT513;TTR;11/11/1997;282;2;BY;Blue whiting;85;30;1.4167;189.344;36.095
TT513;TTR;11/11/1997;282;2;BY;Hake;11;11;0.5;338.6;278.315
TT513;TTR;11/11/1997;282;2;BY;Hake;11;11;0.5;338.6;278.315
TT513;TTR;11/11/1997;282;2;BY;Hake;11;11;0.5;364;343.595
TT513;TTR;11/11/1997;282;2;BY;Hake;11;11;0.5;338.6;278.315
TT513;TTR;11/11/1997;282;2;BY;Hake;11;11;0.5;349.629;305.554
TT513;TTR;11/11/1997;282;2;BY;Hake;11;11;0.5;365.559;347.9
TT513;TTR;11/11/1997;282;2;BY;Hake;11;11;0.5;333.722;266.796
TT513;TTR;11/11/1997;282;2;BY;Hake;11;11;0.5;333.722;266.796
TT513;TTR;11/11/1997;282;2;BY;Hake;11;11;0.5;333.722;266.796
TT513;TTR;11/11/1997;282;2;BY;Hake;11;11;0.5;381.466;393.858
TT513;TTR;11/11/1997;282;2;BY;Illex/Todaropsis;3;3;1;;67.191
TT513;TTR;11/11/1997;282;2;BY;Illex/Todaropsis;3;3;1;;67.191
TT519;TTR;23/03/1998;179;2;BY;Flatfish;2;2;0.5;139.113;29.366
TT519;TTR;23/03/1998;179;2;BY;Flatfish;2;2;0.5;139.113;29.366
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;357.606;326.308
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;373.513;370.412
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;301.861;199.176
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;556.608;1,183.98
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;357.606;326.308
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;413.327;497.534
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;309.838;214.899
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;405.35;470.076
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;381.466;393.858
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;461.072;684.096
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;365.559;347.9
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;313.2;221.762
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;287.724;173.203
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;338.6;278.315
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;236.924;98.355
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;313.2;221.762
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;313.2;221.762
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;364;343.595
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;338.6;278.315
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;402.138;459.308
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;440.276;598.04
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;389.4;418.198
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;338.6;278.315
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;503.814;885.67
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;364;343.595
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;313.2;221.762
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;338.6;278.315
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;364;343.595
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;592.828;1,422.66
TT526;TTR;23/02/1998;;2;BY;Hake;53;30;0.8833;516.552;952.489
TT526;TTR;23/02/1998;;2;BY;Blue whiting;79;30;1.3167;181.936;25.798
TT526;TTR;23/02/1998;;2;BY;Blue whiting;79;30;1.3167;178.247;23.843
TT526;TTR;23/02/1998;;2;BY;Blue whiting;79;30;1.3167;170.891;20.276
TT526;TTR;23/02/1998;;2;BY;Blue whiting;79;30;1.3167;174.558;22.001
