No,Congridae,Engraulidae,Clupeidae,Argentinidae,Myctophidae,Gadidae,Belonidae,Merluccidae,Centriscidae,Carangidae,Sparidae,Mugilidae,Labridae,Zoarcidae,Ammodytidae,Cottidae,Gobiidae,Scombridae,Callionymidae,Atherinidae,Berycidae,Bothidae,Pleuronectidae,Other_Fish,Sepiidae,Sepiolidae,Loliginidae,Ommastrephidae,Octopodidae,Other_Cephalopoda,Total
10TTR04,0,0,0,0,0,226.666,0,0,0,0,5610.421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5837.087
115TTR00,0,0,0,0,0,930.915,0,15.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946.38
122TTR00,0,0,0,0,0,479.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.2,0,0,655.743
124TTR00,0,0,0,0,0,25.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.195
13TTR04,0,0,33.845,0,0,0,0,0,0,0,83.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.34
144TTR01,0,0,0,0,0,0.055,0,0,0,0,197.248,0,0,0,0,0,0,0,0,131.711,0,0,0,0,0,0,0,0,0,0,329.014
148TTR01,0,0,0,0,0,2170.734,0,10104.358,0,2339.603,0,0,0,0,0,0,0,0,0,0,0,0,308.022,0,0,0,0,91.47,0,0,15014.187
149TTR01,0,0,0,0,0,518.423,0,7666.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8185.034
160TTR01,0,0,184.585,0,0,290.711,0,159.822,0,0,330.16,0,0,0,3.91,0,12.773,0,0,73.518,0,0,101.648,0,0,0,0,0,0,0,1157.127
162TTR00,0,0,0,0,0,12057.413,0,425.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12482.856
173TTR01,0,0,0,0,0,317.749,0,0,0,272.701,0,0,0,0,0,0,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0,590.544
174TTR01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1TTR04,0,0,0,0,0,23.648,0,617.39,0,0,0,0,0,0,0,0,11.558,0,0,0,0,0,0,0,0,0,0,0,0,0,652.596
202TTR02,0,0,0,0,0,0,0,0,0,0,40.898,0,0,0,16.345,0,0.827,0,0,5.458,0,0,0,0,0,0,0,0,0,0,63.528
216TTR02,0,0,0,0,0,182.992,0,0,0,104.372,108.976,0,0,0,0,0,0,0,0,30.565,0,0,0,0,0,0,0,0,0,0,426.905
217TTR02,0,0,0,0,0,20305.263,0,2032.76,0,4622.856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26960.879
