No,Sp,Date,Length,Sex,COD,Prey,Count,Measured,Weighting,Prey.length,Prey.weight
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,133.456,15.377
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,133.456,15.377
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,142.626,18.783
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,127.948,13.545
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,137.118,16.683
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,127.948,13.545
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,133.456,15.377
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,127.948,13.545
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,129.779,14.137
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,129.779,14.137
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,133.456,15.377
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,129.779,14.137
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,129.779,14.137
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,129.779,14.137
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,118.778,10.829
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,122.44,11.865
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,126.117,12.97
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,135.287,16.021
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,126.117,12.97
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,131.61,14.746
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,118.778,10.829
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,133.456,15.377
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,126.117,12.97
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,122.44,11.865
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,124.286,12.412
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,129.779,14.137
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,131.61,14.746
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,124.286,12.412
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,131.61,14.746
DD1,DDE,12/03/1991,210,2,BY,Atherina,197,30,3.2833,142.626,18.783
DD1,DDE,12/03/1991,210,2,BY,Sardine,18,8,1.125,193.773,57.226
DD1,DDE,12/03/1991,210,2,BY,Sardine,18,8,1.125,209.528,74.363
DD1,DDE,12/03/1991,210,2,BY,Sardine,18,8,1.125,188.521,52.192
DD1,DDE,12/03/1991,210,2,BY,Sardine,18,8,1.125,177.974,43.034
DD1,DDE,12/03/1991,210,2,BY,Sardine,18,8,1.125,188.521,52.192
DD1,DDE,12/03/1991,210,2,BY,Sardine,18,8,1.125,188.521,52.192
DD1,DDE,12/03/1991,210,2,BY,Sardine,18,8,1.125,209.528,74.363
DD1,DDE,12/03/1991,210,2,BY,Sardine,18,8,1.125,172.723,38.925
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,125.668,12.561
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,102.393,6.184
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,89.081,3.902
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,65.806,1.53
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,39.182,0.388
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,45.824,0.568
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,59.136,1.125
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,49.145,0.68
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,39.182,0.388
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,65.806,1.53
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,105.714,6.889
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,45.824,0.568
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,49.145,0.68
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,105.714,6.889
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,65.806,1.53
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,138.98,18.024
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,85.76,3.452
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,65.806,1.53
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,69.127,1.77
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,72.448,2.039
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,105.714,6.889
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,89.081,3.902
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,105.714,6.889
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,72.448,2.039
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,32.513,0.255
DD1,DDE,12/03/1991,210,2,BY,Trisopterus,27,26,0.5192,62.457,1.315
DD1,DDE,12/03/1991,210,2,BY,Gobiidae,7,7,0.5,109.995,16.744
DD1,DDE,12/03/1991,210,2,BY,Gobiidae,7,7,0.5,89.736,7.547
