No,Congridae,Engraulidae,Clupeidae,Argentinidae,Myctophidae,Gadidae,Belonidae,Merluccidae,Centriscidae,Carangidae,Sparidae,Mugilidae,Labridae,Zoarcidae,Ammodytidae,Cottidae,Gobiidae,Scombridae,Callionymidae,Atherinidae,Berycidae,Bothidae,Pleuronectidae,Other_fish,Sepiidae,Sepiolidae,Loliginidae,Ommastrephidae,Octopodidae,Other_cephalopod,Total
DD1,0,0,500.047,0,0,48.553,0,0,0,0,0,0,26.94,0,0,0,34.783,0,0,1398.59,0,0,0,0,0,0,184.034,0,59.633,0,2252.58
DD10,0,0,19.736,0,0,4.699,0,0,0,0,0,0,0,0,0,0,0.386,0,0,0,0,0,0,0,0,0,111.534,0,0,0,136.355
DD100,0,0,0,0,0,95.911,0,0,0,28.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.547,25.992,0,0,184.493
DD101,0,0,151.869,0,0,784.262,0,0,0,584.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.486,0,0,1685.932
DD102,0,0,0,0,0,0,0,0,0,270.083,0,0,0,0,24.581,0,14.857,0,0,8.635,0,0,0,0,0,0,20.906,0,0,0,339.062
DD103,0,0,244.686,0,0,36.748,0,0,0,0,0,0,0,0,0,0,146.586,0,0,0,0,0,0,0,0,0,267.567,0,3.376,0,698.963
DD104,0,0,190.41,0,0,110.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,48.448,0,0,352.295
DD105,0,0,0,0,0,0,0,0,0,1096.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.359,0,0,0,0,1113.232
DD106,0,0,389.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389.818
DD107,0,0,0,0,0,0,0,0,0,1845.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.588,0,0,0,1856.221
DD108,0,0,50.038,0,0,4.364,0,0,0,92.752,0,0,0,0,33.064,0,0,0,0,0,0,0,0,0,0,0,723.251,0,96.74,0,1000.209
DD109,0,0,130.704,0,0,0,0,0,0,12.102,0,0,0,0,0,0,42.343,0,0,579.885,0,0,0,0,0,20.497,205.916,7.691,0,0,999.138
DD11,0,0,0,0,0,51.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.54,0,0,0,65.96
DD110,0,0,0,0,0,51.065,0,0,0,0,0,0,0,0,0,0,9.48,0,0,44.982,0,0,0,0,0,0,14.651,0,0,0,120.178
DD111,0,0,0,0,0,127.481,0,0,0,0,0,0,0,0,0,0,63.061,0,0,0,0,0,0,0,0,0,9.031,0,0,0,199.573
DD112,0,0,184.492,0,0,0,0,63.519,0,446.165,0,0,0,0,54.221,0,9.48,0,0,0,0,0,0,0,0,0,5.875,0,0,0,763.752
DD113,0,0,72.839,0,0,3.334,0,0,0,120.822,0,0,0,0,0,0,19.011,0,0,0,0,0,0,0,0,0.73,2.994,22.49,0,0,242.22
DD114,0,0,0,0,0,0,0,229.118,0,373.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602.446
DD115,0,0,0,0,0,0,0,0,0,1703.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1703.701
DD116,0,0,0,0,0,425.599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425.599
DD117,0,0,0,0,0,4198.429,0,0,0,111.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4310.034
DD118,0,0,0,0,0,0,0,0,0,17.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.882
DD119,0,0,451.509,0,0,0,0,0,0,7.393,0,0,0,0,0,0,10.728,0,0,0,0,0,0,0,0,0,0,0,0,0,469.63
DD12,0,0,0,0,0,5270.951,0,694.927,0,0,0,0,0,0,0,0,2.325,0,0,0,0,0,0,0,0,9.392,0,19.945,0,0,5997.54
DD120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.342,31.297,0,0,37.639
DD122,0,0,98.913,0,0,56.216,0,0,0,472.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.098,0,0,0,0,0,646.912
DD123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DD124,0,0,0,55.685,0,32.776,0,4.756,0,37.609,0,0,0,0,0,0,57.865,0,0,0,0,0,310.247,0,0,0,28.549,0,2.454,0,529.941
DD125,0,0,86.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.302,0,0,0,95.516
DD126,0,0,0,0,0,34.036,0,0,0,0,0,0,0,0,0,0,0,91.066,0,0,0,0,0,0,0,0,0,0,0,0,125.102
DD127,0,0,0,0,0,234.812,0,0,0,0,0,0,0,0,52.674,0,133.43,0,0,0,0,0,0,0,0,0,718.748,0,0,0,1139.664
DD128,0,0,0,1639.191,0,336.733,0,13.164,0,429.337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2418.425
DD129,0,0,131.404,0,0,0,0,0,0,0,0,0,0,0,1.365,0,713.136,0,0,0,0,0,0,0,0,0,76.887,0,0,0,922.792
DD13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.732,0,0,0,0,0,0,0,0,0,0,32.045,98.328,11.254,0,0,172.359
DD131,0,0,27.56,0,0,0,0,0,0,0,0,0,0,0,0,0,28.515,0,0,0,0,0,0,0,0,60.542,96.672,0,16.242,0,229.531
DD133,0,0,181.517,27.934,0,0,0,0,0,0.379,0,0,0,0,38.07,0,5.263,0,0,0,0,0,0,0,0,0,7.389,0,0,0,260.552
DD134,0,0,23.097,480.826,0,0,0,0,0,99.4,0,0,0,0,10.229,0,6.318,0,0,0,0,0,0,0,0,0,7.389,0,0,0,627.259
