preySp,usedSp,area,weightPerc,spKjg
Sardine (Sardina pilchardus),,Gal,11.43,8.7
Other Cupleidae,,Gal,0.01,8.5
Argentine (Argentina sp.),Argentina sphyraena,Gal,2.89,6.1
Myctophidae,,Gal,0.22,6.6
Blue whiting (Micromesistius poutassou),,Gal,41.02,4.4
"Trisopterus spp. (T. esmarkii, T. minutus, T. luscus)",T. minutus,Gal,3.82,5.1
Silvery pout (Gadiculus argenteus thori),,Gal,1.55,5
Other Gadidae,,Gal,0.26,4.5
Belone,Belone belone,Gal,0.08,6.2
Hake (Merluccius merluccius),,Gal,5.71,3.7
Scad (Trachurus sp.),,Gal,7.09,6
Sparidae,,Gal,3.19,8.1
Mullet,Liza ramada,Gal,0.02,6.5
Labridae,Labrus bergylta,Gal,0.02,5.4
Ammodytidae,,Gal,2.8,5.3
Gobiidae,Lesueurigobius friesii,Gal,2.44,5.6
Mackerel (Scomber scombrus),,Gal,1.21,7.9
Dragonet,Callionymus lyra,Gal,0.08,5.2
Atherina sp.,Atherina presbyter,Gal,8.09,7.3
All Bothidae,Arnoglossus imperialis,Gal,0.17,5.4
Sole (Solea solea),,Gal,0.24,5
Other flatfish,,Gal,0.2,5.7
Sepia,Sepia officinalis,Gal,0.04,3.8
Sepiolidae,Sepiola spp.,Gal,0.76,4.8
Squid (Loligo sp.),Loligo vulgaris,Gal,3.18,4.8
Squid (Alloteuthis subulata),Alloteuthis spp.,Gal,1.24,3.9
Squid (Illex coindetti),,Gal,0.14,4.3
Squid (Todaropsis eblanae),,Gal,0.03,4.4
Other Ommastrephidae,,Gal,1.27,4.4
Octopus (Octopus vulgaris),Eledone cirrhosa,Gal,0.1,4.7
Octopus (Eledone cirrhosa),,Gal,0.13,4.7
Other Cephalopoda,Cephalopoda,Gal,0.57,4.4
