preySp,usedSp,area,weightPerc,spKjg
Sardine (Sardina pilchardus),,Pt,43.4,8.7
Anchovy,,Pt,0.1,5.8
Macroramphosus sp.,Entelurus aequoreus,Pt,3.4,4.7
Blue whiting (Micromesistius poutassou),,Pt,15.5,4.4
"Trisopterus spp. (T. esmarkii, T. minutus, T. luscus)",T. minutus,Pt,0.3,5.1
Hake (Merluccius merluccius),,Pt,2.1,3.7
Scad (Trachurus sp.),,Pt,6.85,6
Diplodus vulgaris,Sparidae,Pt,0.1,8.1
Sparidae,Sparidae,Pt,0.4,8.1
Boga,,Pt,0.3,8
Liza ramada,,Pt,0.8,6.5
D. quadrimaculatus,Lesueurigobius friesii,Pt,0.9,5.6
Mackerel (Scomber scombrus),,Pt,0.25,7.9
Scomber japonicus,Scomber scombus,Pt,2.3,7.9
Scomber spp.,Scomber scombus,Pt,4.1,7.9
Atherina sp.,Atherina presbyter,Pt,11,7.3
Arnoglossus imperialis,Arnoglossus imperialis,Pt,0.3,5.4
Unid. Bothidae,Arnoglossus imperialis,Pt,0.1,5.4
Microchirus variegatus,Soleidae,Pt,0.2,5.8
Sepia sp.,Sepia officinalis,Pt,0.3,3.8
Sepiidae,Sepia officinalis,Pt,0.1,3.8
Sepiolidae,Sepiola spp.,Pt,0.5,4.8
Squid (Loligo sp.),Loligo vulgaris,Pt,3.3,4.8
Squid (Alloteuthis subulata),Alloteuthis spp.,Pt,1.5,3.9
Unid. Loliginidae,Loliginidae,Pt,1.5,4.4
Squid (Illex coindetti),,Pt,0.3,4.3
Other Cephalopoda,Cephalopoda,Pt,0.2,4.4
