ID,Sp,EstLength,EstWeight
DD1,CD,210,104.60
DD10,CD,174,60.79
DD100,CD,159,46.87
DD101,CD,220,119.62
DD102,CD,165,52.16
DD103,CD,153,41.95
DD104,CD,178,64.92
DD105,CD,178,64.92
DD106,CD,162,49.47
DD107,CD,190,78.36
DD108,CD,200,90.86
DD109,CD,160,47.73
DD11,CD,186,73.69
DD110,CD,137,30.50
DD111,CD,203,94.85
DD112,CD,215,111.94
DD113,CD,200,90.86
DD114,CD,190,78.36
DD115,CD,189,77.18
DD116,CD,141,33.14
DD117,CD,194,83.22
DD118,CD,165,52.16
DD119,CD,162,49.47
DD12,CD,,
DD120,CD,200,90.86
DD122,CD,212,107.50
DD123,CD,152,41.16
DD124,CD,197,86.98
DD125,CD,197,86.98
DD126,CD,187,74.84
DD127,CD,168,54.94
DD128,CD,180,67.04
DD129,CD,138,31.15
DD13,CD,170,56.85
DD131,CD,162,49.47
DD133,CD,170,56.85
DD134,CD,184,71.43
DD135,CD,221,121.20
DD136,CD,176,62.83
DD137,CD,185,72.56
DD138,CD,198,88.26
DD139,CD,230,135.99
DD14,CD,190,78.36
DD140,CD,170,56.85
DD15,CD,,
DD16,CD,,
DD17,CD,211,106.04
DD18,CD,169,55.89
DD19,CD,156,44.36
DD2,CD,179,65.97
DD20,CD,,
DD21,CD,190,78.36
DD22,CD,208,101.75
DD23,CD,182,69.21
DD24,CD,194,83.22
DD25,CD,170,56.85
DD26,CD,192,80.76
DD27,CD,196,85.72
DD28,CD,190,78.36
DD3,CD,167,54.00
DD301,CD,180,67.04
DD302,CD,178,64.92
DD303,CD,180,67.04
DD304,CD,,
DD305,CD,183,70.32
DD306,CD,216,113.45
DD307,CD,146,36.64
DD308,CD,146,36.64
DD310,CD,214,110.45
DD311,CD,200,90.86
DD312,CD,188,76.00
DD313,CD,180,67.04
DD314,CD,175,61.81
DD315,CD,180,67.04
DD316,CD,203,94.85
DD317,CD,197,86.98
DD318,CD,179,65.97
DD319,CD,172,58.80
DD320,CD,163,50.35
DD321,CD,178,64.92
DD322,CD,150,39.62
DD323,CD,168,54.94
DD324,CD,170,56.85
DD325,CD,180,67.04
DD326,CD,172,58.80
