No,PLACE,,SEX,D_LENGTH,COD,DATE,SPECIES,COUNT,MEASURED,F_LENGTH,F_WEIGHT,Weighting
DD4,O Grobe,,Female,173,Unknown,21/03/1991,Blue whiting,9,9,110.86,6.027,0.5
DD4,O Grobe,,Female,173,Unknown,21/03/1991,Blue whiting,9,9,136.62,12.121,0.5
DD4,O Grobe,,Female,173,Unknown,21/03/1991,Blue whiting,9,9,128.057,9.762,0.5
DD4,O Grobe,,Female,173,Unknown,21/03/1991,Blue whiting,9,9,170.944,25.645,0.5
DD4,O Grobe,,Female,173,Unknown,21/03/1991,Blue whiting,9,9,136.62,12.121,0.5
DD4,O Grobe,,Female,173,Unknown,21/03/1991,Blue whiting,9,9,119.423,7.73,0.5
DD4,O Grobe,,Female,173,Unknown,21/03/1991,Blue whiting,9,9,119.423,7.73,0.5
DD4,O Grobe,,Female,173,Unknown,21/03/1991,Blue whiting,9,9,128.057,9.762,0.5
DD4,O Grobe,,Female,173,Unknown,21/03/1991,Blue whiting,9,9,119.423,7.73,0.5
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,198.68,36.202,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,201.353,38.114,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,204.026,40.1,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,190.639,30.879,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,201.353,38.114,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,201.353,38.114,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,196.007,34.363,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,193.312,32.579,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,198.68,36.202,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,201.353,38.114,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,190.639,30.879,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,201.353,38.114,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,196.007,34.363,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,182.599,26.161,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,193.312,32.579,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,196.007,34.363,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,209.394,44.319,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,190.639,30.879,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,193.312,32.579,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,201.353,38.114,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,198.68,36.202,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,198.68,36.202,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,201.353,38.114,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,196.007,34.363,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,198.68,36.202,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,204.026,40.1,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,179.926,24.718,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,187.967,29.246,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,201.353,38.114,1.4166666667
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Blue whiting,85,30,198.68,36.202,1.4166666667
DD8,Baiona,,Male,190,Unknown,16/04/1992,Blue whiting,207,30,174.58,22.011,3.45
DD8,Baiona,,Male,190,Unknown,16/04/1992,Blue whiting,207,30,244.186,80.162,3.45
DD8,Baiona,,Male,190,Unknown,16/04/1992,Blue whiting,207,30,185.294,27.678,3.45
DD8,Baiona,,Male,190,Unknown,16/04/1992,Blue whiting,207,30,190.639,30.879,3.45
DD8,Baiona,,Male,190,Unknown,16/04/1992,Blue whiting,207,30,187.967,29.246,3.45
DD8,Baiona,,Male,190,Unknown,16/04/1992,Blue whiting,207,30,161.193,16.199,3.45
DD8,Baiona,,Male,190,Unknown,16/04/1992,Blue whiting,207,30,190.639,30.879,3.45
DD8,Baiona,,Male,190,Unknown,16/04/1992,Blue whiting,207,30,171.907,20.744,3.45
DD8,Baiona,,Male,190,Unknown,16/04/1992,Blue whiting,207,30,166.539,18.363,3.45
DD8,Baiona,,Male,190,Unknown,16/04/1992,Blue whiting,207,30,179.926,24.718,3.45
