No,PLACE,,SEX,D_LENGTH,COD,DATE,SPECIES,COUNT,MEASURED,F_LENGTH,F_WEIGHT,Weighting
DD1,O Grobe,,Female,210,Bycatch,12/03/1991,Sardine,18,8,193.773,57.226,1.125
DD1,O Grobe,,Female,210,Bycatch,12/03/1991,Sardine,18,8,209.528,74.363,1.125
DD1,O Grobe,,Female,210,Bycatch,12/03/1991,Sardine,18,8,188.521,52.192,1.125
DD1,O Grobe,,Female,210,Bycatch,12/03/1991,Sardine,18,8,177.974,43.034,1.125
DD1,O Grobe,,Female,210,Bycatch,12/03/1991,Sardine,18,8,188.521,52.192,1.125
DD1,O Grobe,,Female,210,Bycatch,12/03/1991,Sardine,18,8,188.521,52.192,1.125
DD1,O Grobe,,Female,210,Bycatch,12/03/1991,Sardine,18,8,209.528,74.363,1.125
DD1,O Grobe,,Female,210,Bycatch,12/03/1991,Sardine,18,8,172.723,38.925,1.125
DD4,O Grobe,,Female,173,Unknown,21/03/1991,Sardine,2,2,188.521,52.192,0.5
DD4,O Grobe,,Female,173,Unknown,21/03/1991,Sardine,2,2,172.723,38.925,0.5
DD7,Nigran,,Female,186,Unknown,09/02/1992,Sardine,52,4,167.471,35.098,6.5
DD7,Nigran,,Female,186,Unknown,09/02/1992,Sardine,52,4,177.974,43.034,6.5
DD7,Nigran,,Female,186,Unknown,09/02/1992,Sardine,52,4,177.974,43.034,6.5
DD7,Nigran,,Female,186,Unknown,09/02/1992,Sardine,52,4,167.471,35.098,6.5
DD10,Nigran,,Female,174,Unknown,17/11/1992,Sardine,1,1,167.471,39.472,0.5
DD14,Malpica,,Female,,Unknown,30/01/1993,Sardine,40,8,188.521,52.192,2.5
DD14,Malpica,,Female,,Unknown,30/01/1993,Sardine,40,8,183.226,47.439,2.5
DD14,Malpica,,Female,,Unknown,30/01/1993,Sardine,40,8,177.974,43.034,2.5
DD14,Malpica,,Female,,Unknown,30/01/1993,Sardine,40,8,183.226,47.439,2.5
DD14,Malpica,,Female,,Unknown,30/01/1993,Sardine,40,8,177.974,43.034,2.5
DD14,Malpica,,Female,,Unknown,30/01/1993,Sardine,40,8,172.723,38.925,2.5
DD14,Malpica,,Female,,Unknown,30/01/1993,Sardine,40,8,167.471,35.098,2.5
DD14,Malpica,,Female,,Unknown,30/01/1993,Sardine,40,8,172.723,38.925,2.5
DD15,Vigo,,Male,170,Unknown,05/12/1992,Sardine,51,30,177.974,48.134,0.85
DD15,Vigo,,Male,170,Unknown,05/12/1992,Sardine,51,30,177.974,48.134,0.85
DD15,Vigo,,Male,170,Unknown,05/12/1992,Sardine,51,30,177.974,48.134,0.85
DD15,Vigo,,Male,170,Unknown,05/12/1992,Sardine,51,30,177.974,48.134,0.85
DD15,Vigo,,Male,170,Unknown,05/12/1992,Sardine,51,30,188.521,58.078,0.85
DD15,Vigo,,Male,170,Unknown,05/12/1992,Sardine,51,30,172.723,43.655,0.85
DD15,Vigo,,Male,170,Unknown,05/12/1992,Sardine,51,30,177.974,48.134,0.85
DD15,Vigo,,Male,170,Unknown,05/12/1992,Sardine,51,30,177.974,48.134,0.85
DD15,Vigo,,Male,170,Unknown,05/12/1992,Sardine,51,30,177.974,48.134,0.85
DD15,Vigo,,Male,170,Unknown,05/12/1992,Sardine,51,30,183.226,52.924,0.85
DD15,Vigo,,Male,170,Unknown,05/12/1992,Sardine,51,30,183.226,52.924,0.85
DD15,Vigo,,Male,170,Unknown,05/12/1992,Sardine,51,30,172.723,43.655,0.85
DD15,Vigo,,Male,170,Unknown,05/12/1992,Sardine,51,30,167.471,39.472,0.85
DD15,Vigo,,Male,170,Unknown,05/12/1992,Sardine,51,30,167.471,39.472,0.85
DD15,Vigo,,Male,170,Unknown,05/12/1992,Sardine,51,30,172.723,43.655,0.85
DD15,Vigo,,Male,170,Unknown,05/12/1992,Sardine,51,30,172.723,43.655,0.85
DD15,Vigo,,Male,170,Unknown,05/12/1992,Sardine,51,30,177.974,48.134,0.85
DD15,Vigo,,Male,170,Unknown,05/12/1992,Sardine,51,30,183.226,52.924,0.85
DD15,Vigo,,Male,170,Unknown,05/12/1992,Sardine,51,30,172.723,43.655,0.85
DD15,Vigo,,Male,170,Unknown,05/12/1992,Sardine,51,30,177.974,48.134,0.85
DD15,Vigo,,Male,170,Unknown,05/12/1992,Sardine,51,30,177.974,48.134,0.85
