No,PLACE,,SEX,D_LENGTH,COD,DATE,SPECIES,COUNT,MEASURED,F_LENGTH,F_WEIGHT,Weighting,
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Hake,2,2,116.713,12.505,0.5,1
DD5,Riveira,,Unknown,148,Unknown,24/02/1991,Hake,2,2,125.942,15.608,0.5,2
DD8,Baiona,,Male,190,Unknown,16/04/1992,Hake,9,9,158.605,30.555,0.5,3
DD8,Baiona,,Male,190,Unknown,16/04/1992,Hake,9,9,126.743,15.899,0.5,4
DD8,Baiona,,Male,190,Unknown,16/04/1992,Hake,9,9,123.853,14.866,0.5,5
DD8,Baiona,,Male,190,Unknown,16/04/1992,Hake,9,9,118.073,12.934,0.5,6
DD8,Baiona,,Male,190,Unknown,16/04/1992,Hake,9,9,120.963,13.878,0.5,7
DD8,Baiona,,Male,190,Unknown,16/04/1992,Hake,9,9,115.16,12.026,0.5,8
DD8,Baiona,,Male,190,Unknown,16/04/1992,Hake,9,9,125.942,15.608,0.5,9
DD8,Baiona,,Male,190,Unknown,16/04/1992,Hake,9,9,125.942,15.608,0.5,10
DD8,Baiona,,Male,190,Unknown,16/04/1992,Hake,9,9,135.248,19.211,0.5,11
DD12,porto do Son,,Male,185,Unknown,04/12/1992,Hake,6,6,343.3,289.719,0.5,12
DD12,porto do Son,,Male,185,Unknown,04/12/1992,Hake,6,6,305.085,205.436,0.5,13
DD12,porto do Son,,Male,185,Unknown,04/12/1992,Hake,6,6,297.92,191.695,0.5,14
DD12,porto do Son,,Male,185,Unknown,04/12/1992,Hake,6,6,300.308,196.206,0.5,15
DD12,porto do Son,,Male,185,Unknown,04/12/1992,Hake,6,6,343.3,289.719,0.5,16
DD12,porto do Son,,Male,185,Unknown,04/12/1992,Hake,6,6,310.912,217.076,0.5,17
DD14,Malpica,,Female,,Unknown,30/01/1993,Hake,2,2,115.16,12.026,0.5,18
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,138.327,20.513,0.6379310345,19
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,112.27,11.168,0.6379310345,20
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,129.633,16.979,0.6379310345,21
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,135.437,19.289,0.6379310345,22
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,70.49,2.878,0.6379310345,23
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,129.633,16.979,0.6379310345,24
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,129.633,16.979,0.6379310345,25
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,89.025,5.682,0.6379310345,26
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,98.254,7.573,0.6379310345,27
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,144.131,23.122,0.6379310345,28
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,144.131,23.122,0.6379310345,29
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,129.633,16.979,0.6379310345,30
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,42.802,0.673,0.6379310345,31
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,132.547,18.114,0.6379310345,32
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,52.031,1.189,0.6379310345,33
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,52.031,1.189,0.6379310345,34
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,115.16,12.026,0.6379310345,35
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,89.025,5.682,0.6379310345,36
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,118.073,12.934,0.6379310345,37
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,126.743,15.899,0.6379310345,38
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,138.327,20.513,0.6379310345,39
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,118.073,12.934,0.6379310345,40
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,79.719,4.119,0.6379310345,41
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,79.719,4.119,0.6379310345,42
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,42.802,0.673,0.6379310345,43
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,118.073,12.934,0.6379310345,45
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,115.16,12.026,0.6379310345,46
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,57.265,1.571,0.6379310345,47
DD19,Camarinas,,Male,156,Unknown,20/10/1991,Hake,37,29,74.628,3.399,0.6379310345,48
DD26,Riveira,,Female,192,Unknown,10/01/1993,Hake,7,7,164.385,33.913,0.5,49
DD26,Riveira,,Female,192,Unknown,10/01/1993,Hake,7,7,161.495,32.205,0.5,50
DD26,Riveira,,Female,192,Unknown,10/01/1993,Hake,7,7,144.131,23.122,0.5,51
DD26,Riveira,,Female,192,Unknown,10/01/1993,Hake,7,7,161.495,32.205,0.5,52
DD26,Riveira,,Female,192,Unknown,10/01/1993,Hake,7,7,158.605,30.555,0.5,53
DD26,Riveira,,Female,192,Unknown,10/01/1993,Hake,7,7,98.254,7.573,0.5,54
