List for Camilo
Species;No;Year;Month;Sex;Prey;Count;Measured;Weighting;Fish.length;Fish.weight;Dolphin.length;Place;COD;Date
Tursiops truncatus;10TTR04;4;2;Female ;Sea Bream;36;36;1.0000;222.000;177.585;312.00;Pta Aguiuncho/A Illa;;12/02/04
Tursiops truncatus;10TTR04;4;2;Female ;Sea Bream;36;36;1.0000;220.000;172.792;312.00;Pta Aguiuncho/A Illa;;12/02/04
Tursiops truncatus;10TTR04;4;2;Female ;Sea Bream;36;36;1.0000;120.000;27.648;312.00;Pta Aguiuncho/A Illa;;12/02/04
Tursiops truncatus;10TTR04;4;2;Female ;Sea Bream;36;36;1.0000;204.000;137.525;312.00;Pta Aguiuncho/A Illa;;12/02/04
Tursiops truncatus;10TTR04;4;2;Female ;Sea Bream;36;36;1.0000;212.000;154.486;312.00;Pta Aguiuncho/A Illa;;12/02/04
Tursiops truncatus;10TTR04;4;2;Female ;Sea Bream;36;36;1.0000;215.000;161.190;312.00;Pta Aguiuncho/A Illa;;12/02/04
Tursiops truncatus;10TTR04;4;2;Female ;Sea Bream;36;36;1.0000;204.000;137.525;312.00;Pta Aguiuncho/A Illa;;12/02/04
Tursiops truncatus;10TTR04;4;2;Female ;Sea Bream;36;36;1.0000;232.000;202.888;312.00;Pta Aguiuncho/A Illa;;12/02/04
Tursiops truncatus;10TTR04;4;2;Female ;Sea Bream;36;36;1.0000;222.000;177.585;312.00;Pta Aguiuncho/A Illa;;12/02/04
Tursiops truncatus;10TTR04;4;2;Female ;Sea Bream;36;36;1.0000;206.000;141.642;312.00;Pta Aguiuncho/A Illa;;12/02/04
Tursiops truncatus;10TTR04;4;2;Female ;Sea Bream;36;36;1.0000;167.000;75.096;312.00;Pta Aguiuncho/A Illa;;12/02/04
Tursiops truncatus;10TTR04;4;2;Female ;Sea Bream;36;36;1.0000;219.000;170.428;312.00;Pta Aguiuncho/A Illa;;12/02/04
Tursiops truncatus;10TTR04;4;2;Female ;Sea Bream;36;36;1.0000;222.000;177.585;312.00;Pta Aguiuncho/A Illa;;12/02/04
Tursiops truncatus;10TTR04;4;2;Female ;Sea Bream;36;36;1.0000;196.000;121.858;312.00;Pta Aguiuncho/A Illa;;12/02/04
Tursiops truncatus;10TTR04;4;2;Female ;Sea Bream;36;36;1.0000;222.000;177.585;312.00;Pta Aguiuncho/A Illa;;12/02/04
Tursiops truncatus;10TTR04;4;2;Female ;Sea Bream;36;36;1.0000;230.000;197.646;312.00;Pta Aguiuncho/A Illa;;12/02/04
Tursiops truncatus;10TTR04;4;2;Female ;Sea Bream;36;36;1.0000;216.000;163.467;312.00;Pta Aguiuncho/A Illa;;12/02/04
Tursiops truncatus;10TTR04;4;2;Female ;Sea Bream;36;36;1.0000;233.000;205.544;312.00;Pta Aguiuncho/A Illa;;12/02/04
Tursiops truncatus;10TTR04;4;2;Female ;Sea Bream;36;36;1.0000;226.000;187.436;312.00;Pta Aguiuncho/A Illa;;12/02/04
Tursiops truncatus;10TTR04;4;2;Female ;Sea Bream;36;36;1.0000;218.000;168.086;312.00;Pta Aguiuncho/A Illa;;12/02/04
Tursiops truncatus;10TTR04;4;2;Female ;Sea Bream;36;36;1.0000;216.000;163.467;312.00;Pta Aguiuncho/A Illa;;12/02/04
